iter	MultiClass
229	0.1713143882
230	0.1709328484
231	0.1702130974
232	0.1699589027
233	0.1694458936
234	0.1690805485
235	0.1688776808
236	0.168381724
237	0.1680261077
238	0.167542031
239	0.1668433014
240	0.1665311597
241	0.1662557603
242	0.1659590179
243	0.1654069981
244	0.1647025546
245	0.1643429527
246	0.1638664939
247	0.1633795668
248	0.163070869
249	0.1623607087
250	0.1618739162
251	0.1616012359
252	0.161362854
253	0.1610366471
254	0.1607564547
255	0.1602444183
256	0.15964589
257	0.159341848
258	0.1590290934
259	0.1586217414
260	0.1581970638
261	0.1576743228
262	0.1572776937
263	0.156834326
264	0.1565137508
265	0.1560794493
266	0.1556386675
267	0.1551003235
268	0.1546873813
269	0.1542864728
270	0.1540025216
271	0.1536068257
272	0.1531385411
273	0.1528878634
274	0.152413434
275	0.1522156892
276	0.1517312502
277	0.1513812132
278	0.151045421
279	0.1504949532
280	0.1502374631
281	0.1498288505
282	0.1495315332
283	0.1492958633
284	0.1489866172
285	0.1487199836
286	0.148269084
287	0.1479085243
288	0.147672693
289	0.1473514379
290	0.1468508566
291	0.1466500368
292	0.1460984788
293	0.1457159638
294	0.1454114227
295	0.1451291574
296	0.1447786244
297	0.1444004814
298	0.144285961
299	0.1439521584
300	0.1437278146
301	0.1432331452
302	0.1428510936
303	0.1424923928
304	0.1420603028
305	0.1415878055
306	0.1412823314
307	0.1409751007
308	0.1406804658
309	0.1404016437
310	0.1402254504
311	0.1398272864
312	0.1395965523
313	0.1392774005
314	0.1391546468
315	0.1387728775
316	0.1383871309
317	0.1381478363
318	0.1380258592
319	0.137733889
320	0.1371717357
321	0.1367528635
322	0.1363839851
323	0.1361343707
324	0.1358559314
325	0.1354849816
326	0.1352298811
327	0.1349536926
328	0.1346958129
329	0.1344572707
330	0.1341730996
331	0.1336342775
332	0.1332968426
333	0.1330830753
334	0.1328083159
335	0.132360648
336	0.1321522244
337	0.1318915971
338	0.1315863254
339	0.1312744058
340	0.1310845085
341	0.1309455172
342	0.130595136
343	0.1301802398
344	0.1300154298
345	0.1298294298
346	0.1295868648
347	0.1293650018
348	0.1290902566
349	0.1288410139
350	0.128663856
351	0.1283194646
352	0.1281949407
353	0.1276309457
354	0.1272762005
355	0.1269945634
356	0.1268085505
357	0.1266171762
358	0.1264133831
359	0.1260854744
360	0.1259629075
361	0.1257449887
362	0.1255024034
363	0.1252542634
364	0.1248357569
365	0.1243447742
366	0.1241773258
367	0.123918384
368	0.1237442778
369	0.1234789743
370	0.1232269153
371	0.1230457428
372	0.1226745716
373	0.1223250713
374	0.1221070278
375	0.1220237344
376	0.1219135285
377	0.1214989108
378	0.1213762809
379	0.1211136319
380	0.1209731403
381	0.1207475887
382	0.1206393968
383	0.1203802903
384	0.1199665993
385	0.119696533
386	0.1194963982
387	0.1191467909
388	0.1188197336
389	0.1184126661
390	0.1181886228
391	0.1179052759
392	0.1176530897
393	0.1173952842
394	0.1169398748
395	0.1167077355
396	0.1164195884
397	0.1162768118
398	0.1160809426
399	0.1158063921
400	0.1156828442
401	0.1155040349
402	0.1154153704
403	0.1152431693
404	0.1150962044
405	0.1147704124
406	0.1146247662
407	0.1141614105
408	0.113906373
409	0.1137111622
410	0.1134135207
411	0.1132507971
412	0.1130360423
413	0.1127320276
414	0.112525371
415	0.112394766
416	0.1121469122
417	0.1119679106
418	0.1118884653
419	0.1115827136
420	0.1113835725
421	0.1112924489
422	0.1110794041
423	0.1107873956
424	0.1105745198
425	0.1103759945
426	0.110265066
427	0.1099928103
428	0.1096470937
429	0.1093899075
430	0.1090199281
431	0.1086939991
432	0.1084687894
433	0.1082833733
434	0.1078733015
435	0.1077510116
436	0.1076514156
437	0.1073610731
438	0.1071232463
439	0.1069215889
440	0.106778452
441	0.1065669387
442	0.1062963236
443	0.1059405521
444	0.1057126832
445	0.1054623767
446	0.1051925995
447	0.1049575111
448	0.1045886381
449	0.1043578175
450	0.1042461243
451	0.1040566482
452	0.1039205964
453	0.1036919403
454	0.1034603009
455	0.1032330679
456	0.1030574375
457	0.102727754
458	0.1024140805
459	0.1022732403
460	0.1020570434
461	0.101905577
462	0.1018308442
463	0.1017226458
464	0.101265713
465	0.1010531976
466	0.100857229
467	0.1005814957
468	0.1002950377
469	0.09982055276
470	0.09965933284
471	0.09948490741
472	0.09938917215
473	0.09928604332
474	0.09903973888
475	0.09893066049
476	0.09868874395
477	0.09855152233
478	0.09846644389
479	0.09815209321
480	0.09795091258
481	0.09770454699
482	0.09760766197
483	0.09737580873
484	0.0972214322
485	0.09697516046
486	0.09661113698
487	0.09630219795
488	0.09600813524
489	0.09558601489
490	0.0953148938
491	0.09513165531
492	0.09504026372
493	0.09489036275
494	0.09474236016
495	0.09443623712
496	0.09435340223
497	0.09424181193
498	0.09391604929
499	0.09372534736
500	0.09351349025
501	0.09336193061
502	0.09327917397
503	0.0930296489
504	0.09290395564
505	0.09269182249
506	0.09262405179
507	0.0924072602
508	0.09227025853
509	0.09210186827
510	0.09197315326
511	0.09175795551
512	0.09155750323
513	0.09139881907
514	0.09109576808
515	0.0908151148
516	0.09070605778
517	0.09057625076
518	0.09029621631
519	0.09000893895
520	0.08977064478
521	0.08961399797
522	0.08956762123
523	0.08933072559
524	0.08915446846
525	0.08900583939
526	0.08879886738
527	0.0886482546
528	0.08842116674
529	0.08827186366
530	0.08810550008
531	0.08788296035
532	0.0877873021
533	0.08764105697
534	0.08726329931
535	0.08706922311
536	0.08686719543
537	0.08672235254
538	0.08663302972
539	0.08650884719
540	0.08640255775
541	0.08617248322
542	0.08601646925
543	0.08588642577
544	0.08571957655
545	0.08561683219
546	0.08543888065
547	0.0853203066
548	0.08516401067
549	0.08506373943
550	0.08494125203
551	0.08477367653
552	0.08459428283
553	0.08425664173
554	0.08409765837
555	0.08398924056
556	0.08384949457
557	0.08372367315
558	0.0835907919
559	0.08348282328
560	0.08338627597
561	0.08316435212
562	0.08305128016
563	0.08289622228
564	0.0827702984
565	0.08265509518
566	0.08254369127
567	0.08239955362
568	0.08229439306
569	0.08218388469
570	0.08208951485
571	0.08188199399
572	0.08174019137
573	0.08151240211
574	0.08136406589
575	0.08130228349
576	0.08113431275
577	0.0810057069
578	0.08084344187
579	0.08074401766
580	0.08061740385
581	0.08046760653
582	0.0802526488
583	0.08001814943
584	0.07999094736
585	0.07985432183
586	0.07944524378
587	0.07921515163
588	0.07910560007
589	0.07890277627
590	0.07878801496
591	0.07862199068
592	0.07846676823
593	0.07837267937
594	0.07828004466
595	0.07819563991
596	0.0780792785
597	0.07793094498
598	0.07778280834
599	0.0776898983
600	0.07764623123
601	0.07755563154
602	0.07737119772
603	0.07728644706
604	0.07719993594
605	0.07699614366
606	0.07683802672
607	0.07657975002
608	0.07643665646
609	0.07633163835
610	0.07615252286
611	0.07592164716
612	0.07576459053
613	0.07564724943
614	0.07544634701
615	0.07531797738
616	0.075051943
617	0.07490366684
618	0.07481802897
619	0.07469640744
620	0.07453039935
621	0.07434568208
622	0.07427789154
623	0.07408823179
624	0.07398230544
625	0.0737785096
626	0.07367966056
627	0.07353506383
628	0.07347091523
629	0.07332600116
630	0.07318815175
631	0.07305063554
632	0.07299214206
633	0.07282322644
634	0.07271105199
635	0.07259416877
636	0.07242128378
637	0.07231868632
638	0.07209517785
639	0.07201036537
640	0.07186414104
641	0.07165277378
642	0.0714452893
643	0.07136987583
644	0.07128576202
645	0.07108839262
646	0.07095554909
647	0.07082867239
648	0.0706956841
649	0.07056050896
